"countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"MARSHALL","WV",4,4,"51250",6149,1413,22.9793462351602
"MASON","WV",1,0,"51260",5319,22,0.413611581124271
"MERCER","WV",1,1,"51270",15021,1020,6.79049330936689
"MINERAL","WV",1,0,"51280",4874,16,0.328272466146902
"MINGO","WV",1,1,"51290",6786,1161,17.1087533156499
"MONONGALIA","WV",1,1,"51300",10308,290,2.81334885525805
"MONROE","WV",1,1,"51310",3335,81,2.4287856071964
"MORGAN","WV",0,0,"51320",3096,0,0
"NICHOLAS","WV",1,1,"51330",5891,464,7.87642166015957
"OHIO","WV",4,3,"51340",10628,3053,28.7260067745578
"PENDLETON","WV",0,0,"51350",1793,0,0
"PLEASANTS","WV",0,0,"51360",1435,0,0
"POCAHONTAS","WV",1,1,"51370",1956,19,0.971370143149284
"PRESTON","WV",1,1,"51380",5687,121,2.12765957446809
"PUTNAM","WV",2,1,"51390",8031,61,0.759556717718839
"RALEIGH","WV",2,1,"51400",16929,2092,12.3574930592474
"RANDOLPH","WV",1,1,"51410",6146,125,2.03384315001627
"RITCHIE","WV",1,1,"51420",2139,20,0.935016362786349
"ROANE","WV",1,1,"51430",3123,26,0.832532821005444
"SUMMERS","WV",2,2,"51440",2898,278,9.5928226363009
"TAYLOR","WV",1,1,"51450",2798,55,1.96568977841315
"TUCKER","WV",1,1,"51460",1574,20,1.27064803049555
"TYLER","WV",2,2,"51470",1766,110,6.22876557191393
"UPSHUR","WV",1,1,"51480",4501,160,3.55476560764275
"WAYNE","WV",2,2,"51490",6768,165,2.43794326241135
"WEBSTER","WV",1,1,"51500",2226,135,6.06469002695418
"WETZEL","WV",2,2,"51510",4251,260,6.11620795107034
"WIRT","WV",0,0,"51520",1179,0,0
"WOOD","WV",2,0,"51530",17796,41,0.230388851427287
"WYOMING","WV",1,1,"51540",5903,989,16.7541927833305
"ALBANY","WY",1,1,"53000",3246,88,2.71102895871842
"BIG HORN","WY",0,0,"53010",2148,0,0
"CAMPBELL","WY",0,0,"53020",2753,0,0
"CARBON","WY",1,1,"53030",2293,79,3.44526820758831
"CONVERSE","WY",0,0,"53040",1806,0,0
"CROOK","WY",0,0,"53050",1014,0,0
"FREMONT","WY",0,0,"53060",6261,0,0
"GOSHEN","WY",0,0,"53070",2493,0,0
"HOT SPRINGS","WY",0,0,"53080",1198,0,0
"JOHNSON","WY",0,0,"53090",1562,0,0
"LARAMIE","WY",2,1,"53100",12356,487,3.94140498543218
"LINCOLN","WY",0,0,"53110",2202,0,0
"NATRONA","WY",0,0,"53120",10563,0,0
"NIOBRARA","WY",0,0,"53130",538,0,0
"PARK","WY",0,0,"53140",4921,0,0
"PLATTE","WY",0,0,"53150",1848,0,0
"SHERIDAN","WY",0,0,"53160",4883,0,0
"SUBLETTE","WY",0,0,"53170",896,0,0
"SWEETWATER","WY",2,2,"53180",4026,184,4.57029309488326
"TETON","WY",0,0,"53190",1698,0,0
"UINTA","WY",1,1,"53200",2006,62,3.09072781655035
"WASHAKIE","WY",0,0,"53210",1554,0,0
"WESTON","WY",0,0,"53220",1295,0,0
